"(0.8384920358657837, 0.6039642095565796, -0.12971167266368866, 0.9999867677688599)","(0.8532875776290894, 0.613415002822876, -0.1126093789935112, 0.9999399185180664)","(0.8532706499099731, 0.6224435567855835, -0.11273252218961716, 0.9999417066574097)","(0.8532754778862, 0.6326418519020081, -0.11274322122335434, 0.9999309778213501)","(0.8511949181556702, 0.5794146060943604, -0.11046532541513443, 0.9999477863311768)","(0.849199116230011, 0.5663204789161682, -0.11051785200834274, 0.9999492168426514)","(0.8466691970825195, 0.5552608370780945, -0.1106395572423935, 0.9999415874481201)","(0.8428051471710205, 0.6432082056999207, -0.021549956873059273, 0.9999109506607056)","(0.8334375619888306, 0.5395061373710632, -0.011696765199303627, 0.999919056892395)","(0.8210350871086121, 0.6245219707489014, -0.09754648804664612, 0.999982476234436)","(0.8186740875244141, 0.5834490060806274, -0.0947340801358223, 0.9999790191650391)","(0.7386379837989807, 0.7508742809295654, -0.013892208226025105, 0.9999020099639893)","(0.7253689169883728, 0.4653642177581787, 0.04363216832280159, 0.9997784495353699)","(0.6141245365142822, 0.8103581070899963, -0.08341152220964432, 0.9956246018409729)","(0.5934017896652222, 0.40819740295410156, -0.055695660412311554, 0.9846369028091431)","(0.6481806039810181, 0.6055710315704346, -0.1998668760061264, 0.9934042096138)","(0.6422317624092102, 0.413521409034729, -0.2893369495868683, 0.9886228442192078)","(0.6535041332244873, 0.5418195724487305, -0.21539248526096344, 0.9858953356742859)","(0.6603851318359375, 0.4156099557876587, -0.31735891103744507, 0.9804611802101135)","(0.6685011386871338, 0.5347471237182617, -0.19524945318698883, 0.9827603101730347)","(0.6784385442733765, 0.40878331661224365, -0.3081109821796417, 0.9760371446609497)","(0.667576789855957, 0.5488473176956177, -0.18801648914813995, 0.9739833474159241)","(0.674983024597168, 0.4143637418746948, -0.2891617715358734, 0.9672146439552307)","(0.4805606007575989, 0.6894817352294922, -0.003645246149972081, 0.9998413324356079)","(0.48349812626838684, 0.519999086856842, 0.003257888602092862, 0.9997976422309875)","(0.29824382066726685, 0.671978771686554, -0.025624947622418404, 0.9970282912254333)","(0.29809319972991943, 0.5077747106552124, 0.0030604288913309574, 0.9963286519050598)","(0.148561030626297, 0.6516623497009277, 0.11024755984544754, 0.9951481223106384)","(0.15151986479759216, 0.5033518671989441, 0.11815135926008224, 0.9931602478027344)","(0.1271146535873413, 0.6297793388366699, 0.11293644458055496, 0.923784613609314)","(0.13356617093086243, 0.5214276313781738, 0.12020247429609299, 0.8846923112869263)","(0.08400487899780273, 0.7076008319854736, -0.014210285618901253, 0.9890093207359314)","(0.0874139592051506, 0.45648127794265747, -0.0030173598788678646, 0.9871768355369568)"
"(0.8385236859321594, 0.6038542985916138, -0.12985898554325104, 0.9999861717224121)","(0.8532944321632385, 0.6134787797927856, -0.11227389425039291, 0.9999402165412903)","(0.8532734513282776, 0.6228762269020081, -0.1123790591955185, 0.9999417066574097)","(0.8532723784446716, 0.6326753497123718, -0.11240144073963165, 0.9999322295188904)","(0.8513098955154419, 0.5794133543968201, -0.11026842147111893, 0.9999476075172424)","(0.8495877981185913, 0.5663796067237854, -0.11030072718858719, 0.9999483823776245)","(0.8474740386009216, 0.5552598834037781, -0.11038171499967575, 0.999941349029541)","(0.8429518938064575, 0.6430098414421082, -0.0072961654514074326, 0.9999123811721802)","(0.834053099155426, 0.5398327112197876, -0.0007120029767975211, 0.9999158978462219)","(0.8208599090576172, 0.6245387196540833, -0.094925157725811, 0.9999815225601196)","(0.8182610869407654, 0.5834963917732239, -0.09261941909790039, 0.9999772906303406)","(0.7382898330688477, 0.7506150007247925, 0.01245294138789177, 0.9999037384986877)","(0.7268462777137756, 0.46578699350357056, 0.06564100831747055, 0.9997685551643372)","(0.6147307753562927, 0.8148362636566162, -0.03775299713015556, 0.995594322681427)","(0.593230664730072, 0.41448208689689636, -0.024108564481139183, 0.9816672801971436)","(0.6482059359550476, 0.6151397228240967, -0.11966060847043991, 0.9933732748031616)","(0.647026777267456, 0.4135950803756714, -0.2568427622318268, 0.9867095947265625)","(0.6536446809768677, 0.5499956607818604, -0.14131951332092285, 0.9855303764343262)","(0.662329912185669, 0.41575759649276733, -0.29334577918052673, 0.9776955842971802)","(0.668989896774292, 0.5446947813034058, -0.11914215981960297, 0.9824255704879761)","(0.683904230594635, 0.40730634331703186, -0.2890286445617676, 0.9730803370475769)","(0.6677497625350952, 0.5602738857269287, -0.10706556588411331, 0.9735988974571228)","(0.6791378855705261, 0.4126022756099701, -0.2605736553668976, 0.9636627435684204)","(0.4812455177307129, 0.6877931356430054, -0.0032279272563755512, 0.9998263120651245)","(0.48540088534355164, 0.5188730955123901, 0.0029042602982372046, 0.9997797608375549)","(0.29827791452407837, 0.6716812252998352, -0.011421529576182365, 0.997016429901123)","(0.2974335253238678, 0.5075056552886963, 0.0030258488841354847, 0.9963287711143494)","(0.1485736221075058, 0.6516854166984558, 0.14993447065353394, 0.9950799942016602)","(0.14926157891750336, 0.5004986524581909, 0.14178580045700073, 0.9930695295333862)","(0.12766121327877045, 0.629813015460968, 0.15648961067199707, 0.9240747690200806)","(0.13155993819236755, 0.5190967917442322, 0.1475502997636795, 0.8833402395248413)","(0.08345577120780945, 0.7055993676185608, 0.019717004150152206, 0.9886900782585144)","(0.08405505120754242, 0.456585168838501, 0.012331126257777214, 0.9866832494735718)"
"(0.8388091325759888, 0.6053459048271179, -0.1469612568616867, 0.9999826550483704)","(0.8534136414527893, 0.6158053278923035, -0.12792359292507172, 0.9999322891235352)","(0.8533738851547241, 0.6250600218772888, -0.1280204802751541, 0.999933660030365)","(0.8533534407615662, 0.6336604356765747, -0.12807609140872955, 0.9999256134033203)","(0.8517768979072571, 0.581665575504303, -0.1267041116952896, 0.9999395608901978)","(0.8504322171211243, 0.5683759450912476, -0.126700296998024, 0.9999394416809082)","(0.8489382863044739, 0.5569775104522705, -0.1267271637916565, 0.9999328255653381)","(0.8433914184570312, 0.6430972814559937, -0.016901932656764984, 0.9999016523361206)","(0.8353112936019897, 0.5409747362136841, -0.0131501080468297, 0.9998940229415894)","(0.8208590149879456, 0.6251564025878906, -0.10754445940256119, 0.999976634979248)","(0.8181788325309753, 0.584995448589325, -0.10607297718524933, 0.999969482421875)","(0.7380107641220093, 0.7501096725463867, 0.011368589475750923, 0.999896228313446)","(0.7276098132133484, 0.46581047773361206, 0.061368998140096664, 0.9997226595878601)","(0.6149899959564209, 0.8164027333259583, -0.0456855334341526, 0.995394229888916)","(0.5932351350784302, 0.42154958844184875, -0.042588576674461365, 0.9786054491996765)","(0.6488868594169617, 0.615149974822998, -0.1466127187013626, 0.9928625226020813)","(0.6637858748435974, 0.41358086466789246, -0.2871250808238983, 0.9845207929611206)","(0.65478515625, 0.5496916174888611, -0.16383925080299377, 0.9841462969779968)","(0.6823957562446594, 0.4150303900241852, -0.32511261105537415, 0.9744337797164917)","(0.6698166728019714, 0.5452558398246765, -0.14659090340137482, 0.9808596968650818)","(0.7011258602142334, 0.407101571559906, -0.3180083930492401, 0.9694637656211853)","(0.668526828289032, 0.5606269836425781, -0.13598059117794037, 0.9715409874916077)","(0.6960328221321106, 0.4124803841114044, -0.29065656661987305, 0.9592027068138123)","(0.4821799397468567, 0.6874392032623291, -0.0036443029530346394, 0.9997825026512146)","(0.4873637855052948, 0.517399251461029, 0.003349774284288287, 0.9997127652168274)","(0.2986599802970886, 0.6712799072265625, -0.014087370596826077, 0.9966960549354553)","(0.29736071825027466, 0.5063626766204834, 0.0013654063222929835, 0.9958603382110596)","(0.14850950241088867, 0.6516844034194946, 0.13938170671463013, 0.9945120215415955)","(0.1481359750032425, 0.49805569648742676, 0.1371116191148758, 0.9921485185623169)","(0.12766008079051971, 0.6301716566085815, 0.14408248662948608, 0.9191234707832336)","(0.1298244148492813, 0.5170167088508606, 0.14156357944011688, 0.875609278678894)","(0.08390935510396957, 0.6971646547317505, 0.0151441665366292, 0.9874529838562012)","(0.08304117619991302, 0.4580516517162323, 0.01182163693010807, 0.9849749207496643)"
"(0.8390083312988281, 0.6054198741912842, -0.16423512995243073, 0.9999715685844421)","(0.8536122441291809, 0.6165716052055359, -0.14550717175006866, 0.9999067783355713)","(0.8535600304603577, 0.626039981842041, -0.1455957144498825, 0.9999081492424011)","(0.8535188436508179, 0.6341331005096436, -0.14565595984458923, 0.9999024868011475)","(0.852208137512207, 0.5820181965827942, -0.14305928349494934, 0.9999114871025085)","(0.8511103987693787, 0.5687758922576904, -0.14303822815418243, 0.9999085068702698)","(0.8498955965042114, 0.5572197437286377, -0.14302963018417358, 0.9999005198478699)","(0.8438068628311157, 0.6437670588493347, -0.03283490613102913, 0.9998729228973389)","(0.8363738656044006, 0.5415077805519104, -0.022287126630544662, 0.9998194575309753)","(0.8207169771194458, 0.625234842300415, -0.12242195010185242, 0.9999637603759766)","(0.8178447484970093, 0.5850650072097778, -0.11914988607168198, 0.9999454617500305)","(0.7376940846443176, 0.7502588629722595, -0.00026330602122470737, 0.9998837113380432)","(0.7304609417915344, 0.46747398376464844, 0.0596700981259346, 0.9996379613876343)","(0.6149863004684448, 0.8166034817695618, -0.05579274520277977, 0.9949675798416138)","(0.5926790833473206, 0.4259802997112274, -0.04384481534361839, 0.9711337685585022)","(0.6492654085159302, 0.6148545742034912, -0.15856526792049408, 0.9918644428253174)","(0.6755354404449463, 0.4216870963573456, -0.28628578782081604, 0.9799451231956482)","(0.6558552384376526, 0.5496413111686707, -0.1756628304719925, 0.9816905856132507)","(0.7004995346069336, 0.4179680645465851, -0.32395756244659424, 0.9682333469390869)","(0.6705864071846008, 0.5456490516662598, -0.15251299738883972, 0.9781069159507751)","(0.716096818447113, 0.40877389907836914, -0.31659409403800964, 0.9627076983451843)","(0.669012188911438, 0.5604574084281921, -0.14555954933166504, 0.9681649804115295)","(0.7098912000656128, 0.4156377911567688, -0.290337473154068, 0.9511412978172302)","(0.48597824573516846, 0.6874445080757141, -0.004448742140084505, 0.9997380971908569)","(0.49262893199920654, 0.5166148543357849, 0.0042130122892558575, 0.9996378421783447)","(0.30035245418548584, 0.6712441444396973, -0.030440453439950943, 0.9963458776473999)","(0.2976130247116089, 0.5061770677566528, 0.0009034907561726868, 0.9953901767730713)","(0.1484532207250595, 0.6518309116363525, 0.15543676912784576, 0.9938322305679321)","(0.14807292819023132, 0.4976167380809784, 0.1597558856010437, 0.9913744926452637)","(0.12769582867622375, 0.6309598684310913, 0.1659477800130844, 0.9139758348464966)","(0.12965182960033417, 0.5162580609321594, 0.16847571730613708, 0.8703060150146484)","(0.08428457379341125, 0.6922594308853149, 0.03036269173026085, 0.9857906699180603)","(0.0831579715013504, 0.462058961391449, 0.03412100300192833, 0.983252763748169)"
"(0.8391105532646179, 0.6049836874008179, -0.17262543737888336, 0.9999639987945557)","(0.8537061214447021, 0.616568922996521, -0.15546970069408417, 0.9998897314071655)","(0.8536230325698853, 0.6262006759643555, -0.15555427968502045, 0.9998910427093506)","(0.8535603880882263, 0.6342107057571411, -0.15561559796333313, 0.9998870491981506)","(0.8524887561798096, 0.5819543600082397, -0.15270191431045532, 0.9998913407325745)","(0.8515994548797607, 0.5687682628631592, -0.15267395973205566, 0.9998854994773865)","(0.8505429029464722, 0.5571938157081604, -0.15267209708690643, 0.9998751282691956)","(0.8438787460327148, 0.6440643668174744, -0.046278588473796844, 0.9998560547828674)","(0.8372451066970825, 0.5415681600570679, -0.03364032879471779, 0.9997659921646118)","(0.8205516934394836, 0.625060498714447, -0.1313587725162506, 0.9999564290046692)","(0.8177677989006042, 0.5848216414451599, -0.12765900790691376, 0.9999294877052307)","(0.737561821937561, 0.7498157024383545, -0.012724727392196655, 0.9998753070831299)","(0.7320772409439087, 0.46747374534606934, 0.045509275048971176, 0.9995730519294739)","(0.6148345470428467, 0.8171707391738892, -0.0698828175663948, 0.99470055103302)","(0.5924718976020813, 0.42805561423301697, -0.05109623447060585, 0.9641383290290833)","(0.6493750214576721, 0.61627197265625, -0.16458924114704132, 0.9913812279701233)","(0.6841712594032288, 0.42853790521621704, -0.2834649980068207, 0.9764379858970642)","(0.6559796929359436, 0.5515601634979248, -0.18150854110717773, 0.9804425835609436)","(0.7108312845230103, 0.4209480881690979, -0.3190418481826782, 0.9636881351470947)","(0.6707717776298523, 0.5496521592140198, -0.15747042000293732, 0.9767191410064697)","(0.7265697121620178, 0.41230738162994385, -0.31097233295440674, 0.9577138423919678)","(0.6694318652153015, 0.5634207129478455, -0.15142318606376648, 0.9665167927742004)","(0.7201652526855469, 0.42211130261421204, -0.2871432304382324, 0.9451993107795715)","(0.48611006140708923, 0.6872193217277527, -0.004445065278559923, 0.9996981620788574)","(0.49231740832328796, 0.5157843232154846, 0.004208886995911598, 0.9995800256729126)","(0.301018625497818, 0.6704054474830627, -0.03265772759914398, 0.9960700273513794)","(0.2972182035446167, 0.5061922073364258, 0.0002179105213144794, 0.9951402544975281)","(0.14846590161323547, 0.6524927616119385, 0.15865223109722137, 0.9932331442832947)","(0.14800933003425598, 0.4976159632205963, 0.15917134284973145, 0.9908438920974731)","(0.12770520150661469, 0.6320591568946838, 0.16941647231578827, 0.9115695953369141)","(0.12950199842453003, 0.5162924528121948, 0.1678801029920578, 0.8686504364013672)","(0.08438851684331894, 0.6929690837860107, 0.03920666128396988, 0.9841827750205994)","(0.08327285945415497, 0.46147310733795166, 0.03708859160542488, 0.9818534851074219)"
"(0.8390997648239136, 0.6007813215255737, -0.18021126091480255, 0.9999492168426514)","(0.8537209630012512, 0.6150922179222107, -0.16484440863132477, 0.9998518228530884)","(0.8536441922187805, 0.6256618499755859, -0.164920836687088, 0.99985271692276)","(0.8535677194595337, 0.6339629292488098, -0.1649734526872635, 0.9998508095741272)","(0.8525124788284302, 0.5794593095779419, -0.1584412008523941, 0.999852180480957)","(0.8516543507575989, 0.5666635632514954, -0.15842308104038239, 0.9998423457145691)","(0.8505795001983643, 0.555259644985199, -0.15843990445137024, 0.9998303055763245)","(0.8438767194747925, 0.644322395324707, -0.06288544088602066, 0.9998104572296143)","(0.8374369740486145, 0.5415323972702026, -0.0335518904030323, 0.9996539950370789)","(0.8201999664306641, 0.6224828362464905, -0.14145612716674805, 0.9999395608901978)","(0.8176558613777161, 0.581045925617218, -0.13277480006217957, 0.9998965859413147)","(0.7374652624130249, 0.7513597011566162, -0.030164161697030067, 0.9998466372489929)","(0.7319191694259644, 0.47067496180534363, 0.043580472469329834, 0.999504566192627)","(0.6138972043991089, 0.8190531134605408, -0.10034497827291489, 0.994422197341919)","(0.5923811793327332, 0.4276747405529022, -0.05482477694749832, 0.9594327807426453)","(0.6499641537666321, 0.6160997152328491, -0.18312698602676392, 0.9907334446907043)","(0.6920651197433472, 0.42924046516418457, -0.289800226688385, 0.9745916128158569)","(0.6574432849884033, 0.551457405090332, -0.1982748955488205, 0.9787030220031738)","(0.7190638184547424, 0.42037177085876465, -0.32565435767173767, 0.9609180092811584)","(0.6726281642913818, 0.5504921078681946, -0.16780997812747955, 0.9747281670570374)","(0.7324745059013367, 0.412404865026474, -0.3155058026313782, 0.9545807838439941)","(0.6712859272956848, 0.5636419057846069, -0.16689112782478333, 0.964020848274231)","(0.7260032296180725, 0.4224555492401123, -0.29272860288619995, 0.9413895010948181)","(0.4860083758831024, 0.6871254444122314, -0.004812905099242926, 0.9996418952941895)","(0.49193325638771057, 0.5155419111251831, 0.004605184309184551, 0.9995174407958984)","(0.3014217019081116, 0.6703713536262512, -0.033180758357048035, 0.9957575798034668)","(0.29663196206092834, 0.5064667463302612, 0.00023131565831135958, 0.9949920177459717)","(0.1490725576877594, 0.6526447534561157, 0.16390302777290344, 0.9926171898841858)","(0.14804024994373322, 0.49764376878738403, 0.16262765228748322, 0.9904571175575256)","(0.12855593860149384, 0.6323410868644714, 0.1750665009021759, 0.90876305103302)","(0.12953275442123413, 0.5163305401802063, 0.17150910198688507, 0.8677523136138916)","(0.0844426080584526, 0.6936188340187073, 0.04332142695784569, 0.9825593829154968)","(0.08332730829715729, 0.4611973464488983, 0.03870869427919388, 0.9806928634643555)"
"(0.8392312526702881, 0.6004000902175903, -0.18490482866764069, 0.999934732913971)","(0.8539417386054993, 0.6149837374687195, -0.16862548887729645, 0.9998200535774231)","(0.8538569808006287, 0.6256551146507263, -0.16869692504405975, 0.9998204112052917)","(0.8537416458129883, 0.6339895725250244, -0.16874505579471588, 0.9998210072517395)","(0.8527935743331909, 0.5790554285049438, -0.16285540163516998, 0.9998162388801575)","(0.8520216345787048, 0.5663283467292786, -0.16283513605594635, 0.9998016953468323)","(0.8509323596954346, 0.5548144578933716, -0.16283537447452545, 0.9997878670692444)","(0.844063937664032, 0.6448039412498474, -0.06307051330804825, 0.9997797012329102)","(0.8377565145492554, 0.5413523316383362, -0.03581567108631134, 0.9995532035827637)","(0.820080041885376, 0.6224193572998047, -0.14467959105968475, 0.9999250769615173)","(0.8176072239875793, 0.5804134011268616, -0.13676804304122925, 0.9998656511306763)","(0.7374151349067688, 0.7511088252067566, -0.03331302851438522, 0.9998292326927185)","(0.7322293519973755, 0.4706059396266937, 0.04281572252511978, 0.9994235634803772)","(0.6138206124305725, 0.819994330406189, -0.1052858754992485, 0.9940239787101746)","(0.5925340056419373, 0.4273263216018677, -0.054804883897304535, 0.9518201947212219)","(0.6500102281570435, 0.6160768270492554, -0.19159266352653503, 0.989997148513794)","(0.6953518986701965, 0.4321308434009552, -0.2818690240383148, 0.9712688326835632)","(0.6574878096580505, 0.5521700978279114, -0.2078564614057541, 0.9769044518470764)","(0.7211171388626099, 0.4208482801914215, -0.31696462631225586, 0.956450879573822)","(0.6727168560028076, 0.5522555708885193, -0.1777501404285431, 0.9727245569229126)","(0.7354501485824585, 0.41370445489883423, -0.3068045377731323, 0.9497677087783813)","(0.6715061068534851, 0.5650050640106201, -0.1755194365978241, 0.9615812301635742)","(0.7284965515136719, 0.4248661994934082, -0.2848522961139679, 0.9358487129211426)","(0.4858236014842987, 0.6866859793663025, -0.0056672911159694195, 0.9995807409286499)","(0.49185073375701904, 0.5147015452384949, 0.005508312489837408, 0.9994421005249023)","(0.3018456697463989, 0.6703637838363647, -0.037717901170253754, 0.995388388633728)","(0.2965439558029175, 0.5068050026893616, -0.0005336567992344499, 0.9946680665016174)","(0.14940431714057922, 0.6526362895965576, 0.17512817680835724, 0.9917688369750977)","(0.1478935182094574, 0.4977723956108093, 0.17199645936489105, 0.9897986650466919)","(0.12944699823856354, 0.6325685977935791, 0.18834926187992096, 0.903323233127594)","(0.12954303622245789, 0.5163635611534119, 0.18237820267677307, 0.8651507496833801)","(0.08414094895124435, 0.6930702924728394, 0.05252210050821304, 0.980353057384491)","(0.08284298330545425, 0.4614048898220062, 0.045183051377534866, 0.9789363741874695)"
"(0.8399230241775513, 0.6002707481384277, -0.18048648536205292, 0.9999210834503174)","(0.854458212852478, 0.6149476170539856, -0.1639041155576706, 0.999786376953125)","(0.8542991876602173, 0.6256640553474426, -0.16397908329963684, 0.9997867941856384)","(0.8541166186332703, 0.6340280175209045, -0.1640303134918213, 0.9997903108596802)","(0.8535512685775757, 0.578940749168396, -0.15894627571105957, 0.9997785687446594)","(0.8529055714607239, 0.5662938356399536, -0.1589217633008957, 0.9997599124908447)","(0.8518810868263245, 0.5547438859939575, -0.15892113745212555, 0.9997438788414001)","(0.8443164825439453, 0.6449193954467773, -0.058590494096279144, 0.9997442960739136)","(0.838427722454071, 0.5413044095039368, -0.03453843295574188, 0.9994493126869202)","(0.8202349543571472, 0.622417151927948, -0.1405177116394043, 0.999910831451416)","(0.8177939653396606, 0.5801559090614319, -0.13361044228076935, 0.9998359084129333)","(0.7374131679534912, 0.7506291270256042, -0.030585335567593575, 0.9998149871826172)","(0.7324578762054443, 0.46990329027175903, 0.042806364595890045, 0.999351441860199)","(0.613827645778656, 0.8210368156433105, -0.10062392801046371, 0.9937033653259277)","(0.5928818583488464, 0.4268910586833954, -0.05471377819776535, 0.946745753288269)","(0.6501749157905579, 0.6165581345558167, -0.1887340098619461, 0.9892654418945312)","(0.6993517279624939, 0.4362754225730896, -0.27969637513160706, 0.9690003395080566)","(0.6577244997024536, 0.5541830062866211, -0.20439057052135468, 0.9751060009002686)","(0.7243278622627258, 0.4241146147251129, -0.31451764702796936, 0.9533435702323914)","(0.6730206608772278, 0.5545420050621033, -0.17308959364891052, 0.9706760048866272)","(0.7385410666465759, 0.41774246096611023, -0.30424997210502625, 0.9463468790054321)","(0.6718816757202148, 0.5668392181396484, -0.17184443771839142, 0.9590803384780884)","(0.7309457659721375, 0.42988094687461853, -0.28240346908569336, 0.9316571354866028)","(0.4858664870262146, 0.6865763068199158, -0.00586336525157094, 0.9995401501655579)","(0.49210792779922485, 0.5145893692970276, 0.005714307073503733, 0.9993849396705627)","(0.3022424876689911, 0.670371949672699, -0.03826276585459709, 0.9951534271240234)","(0.29811105132102966, 0.5078763365745544, -0.0005596683477051556, 0.9944798350334167)","(0.14972732961177826, 0.6526148915290833, 0.16981326043605804, 0.9912779927253723)","(0.1484917551279068, 0.49806350469589233, 0.16967318952083588, 0.9893718957901001)","(0.12999968230724335, 0.6325738430023193, 0.18177486956119537, 0.9000819325447083)","(0.12999789416790009, 0.5164011716842651, 0.1793435961008072, 0.8631696701049805)","(0.08411546051502228, 0.6925899982452393, 0.04620223119854927, 0.9789950847625732)","(0.08289143443107605, 0.46123185753822327, 0.043496474623680115, 0.9778003096580505)"
"(0.8401358127593994, 0.6002877950668335, -0.18085210025310516, 0.999910831451416)","(0.8547048568725586, 0.6150793433189392, -0.1639736294746399, 0.999761164188385)","(0.8544976711273193, 0.6259634494781494, -0.1640515774488449, 0.9997611045837402)","(0.8542688488960266, 0.634280800819397, -0.16409868001937866, 0.9997672438621521)","(0.8539577126502991, 0.5789540410041809, -0.15954113006591797, 0.9997508525848389)","(0.8534072041511536, 0.5663414001464844, -0.15951868891716003, 0.9997288584709167)","(0.8524288535118103, 0.5547464489936829, -0.1595267802476883, 0.9997113347053528)","(0.8443716764450073, 0.6456345319747925, -0.057940881699323654, 0.9997156262397766)","(0.8388196229934692, 0.5412969589233398, -0.03619944676756859, 0.9993703961372375)","(0.8202301263809204, 0.622461199760437, -0.14080572128295898, 0.9998995065689087)","(0.8177926540374756, 0.5800550580024719, -0.13458648324012756, 0.9998130202293396)","(0.7374117374420166, 0.7502791285514832, -0.030321812257170677, 0.9997999668121338)","(0.7324047684669495, 0.4694153666496277, 0.03766912966966629, 0.9992827773094177)","(0.6138524413108826, 0.8215895891189575, -0.10093270242214203, 0.9934994578361511)","(0.5937464833259583, 0.4266272485256195, -0.06179994344711304, 0.9431513547897339)","(0.650434672832489, 0.6170858144760132, -0.18886028230190277, 0.9887402653694153)","(0.7040160894393921, 0.4363180994987488, -0.28218525648117065, 0.9672747850418091)","(0.6580915451049805, 0.5555923581123352, -0.20463161170482635, 0.9737125635147095)","(0.728022575378418, 0.42439836263656616, -0.316524863243103, 0.9508585929870605)","(0.6732595562934875, 0.5556877851486206, -0.1735934317111969, 0.9690849184989929)","(0.7420154809951782, 0.4191771447658539, -0.30598369240760803, 0.943608820438385)","(0.6722689270973206, 0.5675813555717468, -0.1723591536283493, 0.9572184085845947)","(0.7339751720428467, 0.4317004680633545, -0.28464215993881226, 0.9284071326255798)","(0.4858465790748596, 0.6861100196838379, -0.005819305777549744, 0.9994902014732361)","(0.4919370412826538, 0.5144433379173279, 0.005677890498191118, 0.9993190765380859)","(0.3023511469364166, 0.6704063415527344, -0.03762819617986679, 0.9947931170463562)","(0.29814592003822327, 0.5082297325134277, -0.0012642721412703395, 0.994166374206543)","(0.15004849433898926, 0.6526318788528442, 0.1651303768157959, 0.9905216693878174)","(0.14854110777378082, 0.4983450472354889, 0.16460441052913666, 0.9886637330055237)","(0.1303534060716629, 0.63271564245224, 0.17616327106952667, 0.8962473273277283)","(0.13004080951213837, 0.5164582133293152, 0.17309989035129547, 0.8602041602134705)","(0.08404583483934402, 0.6922969222068787, 0.042736705392599106, 0.9771669507026672)","(0.08294307440519333, 0.46088263392448425, 0.03908305615186691, 0.9762007594108582)"
"(0.8405404686927795, 0.6001983284950256, -0.1805744469165802, 0.9999061226844788)","(0.8550146222114563, 0.6150977611541748, -0.1630576252937317, 0.9997507333755493)","(0.8547652363777161, 0.6261063814163208, -0.16313223540782928, 0.9997501373291016)","(0.8544982671737671, 0.6344837546348572, -0.163179412484169, 0.9997576475143433)","(0.8544191122055054, 0.5788721442222595, -0.15934719145298004, 0.999739944934845)","(0.8539066910743713, 0.5662783980369568, -0.1593208760023117, 0.9997159838676453)","(0.8529388904571533, 0.5546315312385559, -0.15932364761829376, 0.9996973276138306)","(0.8444753885269165, 0.6463857889175415, -0.05586645379662514, 0.9997037053108215)","(0.8393012285232544, 0.5412886738777161, -0.03734501078724861, 0.9993404746055603)","(0.8203151822090149, 0.6224515438079834, -0.1400567889213562, 0.9998931884765625)","(0.8179763555526733, 0.5798159837722778, -0.13486623764038086, 0.9998013377189636)","(0.7375565767288208, 0.749675989151001, -0.029179714620113373, 0.9997893571853638)","(0.7330943942070007, 0.46939367055892944, 0.035836197435855865, 0.9992230534553528)","(0.613875150680542, 0.8216916918754578, -0.10067187994718552, 0.9933507442474365)","(0.59384685754776, 0.4264128804206848, -0.06163175031542778, 0.9385620951652527)","(0.6510862112045288, 0.6170439720153809, -0.18055599927902222, 0.9884138107299805)","(0.7003592252731323, 0.4377858638763428, -0.26187342405319214, 0.9645812511444092)","(0.6591017246246338, 0.555497944355011, -0.19604666531085968, 0.9727544188499451)","(0.7229282259941101, 0.4306875765323639, -0.29250526428222656, 0.9470729231834412)","(0.6741466522216797, 0.5554075837135315, -0.16611629724502563, 0.9680105447769165)","(0.7379395961761475, 0.4249124825000763, -0.2806743383407593, 0.939399242401123)","(0.6731790900230408, 0.5673925280570984, -0.16430626809597015, 0.955950915813446)","(0.730760931968689, 0.43635764718055725, -0.2624901831150055, 0.9234538078308105)","(0.4858856797218323, 0.686024010181427, -0.00568384351208806, 0.9994598627090454)","(0.4921736717224121, 0.5143698453903198, 0.00555452099069953, 0.9992854595184326)","(0.30325374007225037, 0.670395016670227, -0.03259078040719032, 0.994592547416687)","(0.2990836799144745, 0.508338987827301, -0.0003916122659575194, 0.9940049052238464)","(0.15137979388237, 0.6526566743850708, 0.1705469787120819, 0.990074872970581)","(0.14855289459228516, 0.49801382422447205, 0.16465049982070923, 0.9883811473846436)","(0.13177554309368134, 0.6327122449874878, 0.18187730014324188, 0.8944053649902344)","(0.1300622522830963, 0.5162221789360046, 0.1733146458864212, 0.8595529198646545)","(0.0842563658952713, 0.6923860907554626, 0.0501822754740715, 0.9760348796844482)","(0.08297760784626007, 0.4576354920864105, 0.03934795409440994, 0.9753265380859375)"
